fridge.datetime,fridge.fridge_temperature,fridge.temp_condition,garage_door.datetime,garage_door.door_state,garage_door.sphone_signal,gps_tracker.datetime,gps_tracker.latitude,gps_tracker.longitude,modbus.datetime,modbus.FC1_Read_Input_Register,modbus.FC2_Read_Discrete_Value,modbus.FC3_Read_Holding_Register,modbus.FC4_Read_Coil,motion_light.datetime,motion_light.motion_status,motion_light.light_status,thermostat.datetime,thermostat.current_temperature,thermostat.thermostat_status,weather.datetime,weather.temperature,weather.pressure,weather.humidity,type
,,,4/26/2019 14:50,closed,0,4/26/2019 14:50,37.29050614,47.91016302,4/26/2019 14:50,46476,10812,32013,55228,4/26/2019 14:50,0, off,4/26/2019 14:50,34.05069892,0,4/26/2019 14:50,41.95362888,2.996370177,11.48504991,password
,,,,,,4/26/2019 14:50,38.2093085,47.32844737,4/26/2019 14:50,46476,10812,32013,55228,,,,,,,,,,,password
,,,,,,,,,,,,,,4/26/2019 14:50,0, off,,,,,,,,scanning
,,,4/26/2019 14:50,closed,0,,,,,,,,,,,,4/26/2019 14:50,29.56952448,1,4/26/2019 14:50,21.46884141,3.819362866,3.259963505,password
,,,4/26/2019 14:50,closed,0,,,,,,,,,,,,,,,,,,,password
,,,4/26/2019 14:50,closed,0,4/26/2019 14:50,37.34860885,47.95678547,4/26/2019 14:50,6183,35156,64435,56975,,,,,,,,,,,password
,,,,,,4/26/2019 14:50,38.29022212,47.39620417,4/26/2019 14:50,6183,35156,64435,56975,,,,,,,4/26/2019 14:50,41.5157186,2.996370177,11.48504991,password
,,,,,,,,,,,,,,4/26/2019 14:50,1, on,,,,,,,,scanning
,,,,,,,,,,,,,,4/26/2019 14:50,1, on,4/26/2019 14:50,33.57566047,1,,,,,password
,,,4/26/2019 14:50,closed,0,,,,,,,,,4/26/2019 14:50,0, off,4/26/2019 14:50,29.41026651,1,4/26/2019 14:50,21.56986921,3.819362866,3.259963505,password
,,,4/26/2019 14:50,closed,0,,,,,,,,,,,,,,,,,,,password
,,,4/26/2019 14:50,closed,0,4/26/2019 14:50,37.46055048,48.02865375,4/26/2019 14:50,6183,35156,64435,56975,,,,,,,4/26/2019 14:50,41.43325134,2.996370177,11.48504991,password
,,,,,,4/26/2019 14:50,38.29340548,47.42532797,4/26/2019 14:50,6183,35156,64435,56975,4/26/2019 14:50,1, on,4/26/2019 14:50,33.19355703,1,,,,,password
,,,4/26/2019 14:50,closed,0,,,,,,,,,4/26/2019 14:50,0, off,4/26/2019 14:50,29.12055346,1,4/26/2019 14:50,21.56986921,3.93973985,4.551901891,password
,,,4/26/2019 14:50,closed,0,,,,,,,,,,,,,,,,,,,password
,,,4/26/2019 14:50,closed,0,4/26/2019 14:50,37.47399674,48.11877115,4/26/2019 14:50,43729,25373,14763,20849,,,,,,,,,,,password
,,,,,,4/26/2019 14:50,38.36241048,47.48716077,,,,,,,,,,,,,,,,password
,,,,,,,,,,,,,,4/26/2019 14:50,0, off,,,,,,,,scanning
,,,,,,,,,4/26/2019 14:50,43729,25373,14763,20849,,,,4/26/2019 14:50,32.71447472,1,4/26/2019 14:50,40.96785927,2.996370177,7.798822624,password
,,,4/26/2019 14:51,closed,0,,,,,,,,,4/26/2019 14:51,1, on,4/26/2019 14:51,28.93726189,1,4/26/2019 14:51,21.61609872,3.93973985,4.551901891,password
,,,,,,,,,3/31/2019 12:43,22274,26792,32695,39417,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,4764,59875,41248,14690,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,4764,59875,41248,14690,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,4764,59875,41248,14690,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,34135,48971,49705,53465,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,34135,48971,49705,53465,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,34135,48971,49705,53465,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,37406,16775,63173,19542,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,37406,16775,63173,19542,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,37406,16775,63173,19542,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,37406,16775,63173,19542,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,55165,46730,25262,60188,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,55165,46730,25262,60188,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,55165,46730,25262,60188,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,61739,3950,52863,48878,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,22196,30259,40348,32128,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,22196,30259,40348,32128,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,22196,30259,40348,32128,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,34135,48971,49705,53465,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:43,22196,30259,40348,32128,,,,,,,,,,,normal
,,,,,,,,,,,,,,4/26/2019 15:51,1, on,,,,,,,,scanning
,,,,,,4/26/2019 15:51,71.71511805,77.65085421,,,,,,,,,4/26/2019 15:51,31.18211912,1,4/26/2019 15:51,34.30773962,2.367590228,45.88519683,password
4/26/2019 15:51,9.85,high,,,,4/26/2019 15:51,70.93904916,79.65291104,,,,,,4/26/2019 15:51,0, off,4/26/2019 15:51,28.10578367,1,4/26/2019 15:51,21.3958008,5.718641151,6.981734463,password
4/26/2019 15:51,10.8,high,,,,,,,,,,,,,,,,,,,,,,password
4/26/2019 15:51,12.95,high,,,,4/26/2019 15:51,71.00388947,79.67088819,,,,,,4/26/2019 15:51,0, off,4/26/2019 15:51,31.05806744,1,,,,,password
,,,,,,4/26/2019 15:51,71.76382564,77.66290462,,,,,,4/26/2019 15:51,1, on,4/26/2019 15:51,28.02090004,1,4/26/2019 15:51,34.1403462,2.367590228,45.88519683,password
4/26/2019 15:51,10.5,high,,,,,,,,,,,,,,,,,,4/26/2019 15:51,21.28786008,5.718641151,6.981734463,password
4/26/2019 15:51,4,low,,,,,,,,,,,,,,,,,,,,,,password
4/26/2019 15:51,10.7,high,,,,,,,,,,,,4/26/2019 15:51,1, on,4/26/2019 15:51,30.57424885,1,4/26/2019 15:51,33.70503694,2.367590228,45.88519683,password
,,,,,,,,,,,,,,4/26/2019 15:51,0, off,,,,,,,,scanning
,,,,,,4/26/2019 15:51,71.00861172,79.6712769,,,,,,,,,,,,,,,,password
4/26/2019 15:51,3,low,,,,4/26/2019 15:51,71.77221944,77.78263301,,,,,,,,,4/26/2019 15:51,27.69011071,1,4/26/2019 15:51,21.25034984,5.718641151,6.981734463,password
4/26/2019 15:51,1,low,,,,,,,,,,,,,,,,,,,,,,password
4/26/2019 15:51,2.9,low,,,,,,,,,,,,,,,4/26/2019 15:52,30.14776455,1,,,,,password
,,,,,,,,,,,,,,4/26/2019 15:52,1, on,,,,,,,,scanning
,,,,,,4/26/2019 15:52,71.0126656,79.72510304,,,,,,,,,,,,4/26/2019 15:52,33.45149942,2.367590228,48.59788124,password
4/26/2019 15:52,11.1,high,,,,4/26/2019 15:52,71.80168704,77.79767285,,,,,,4/26/2019 15:52,0, off,4/26/2019 15:52,27.33765649,1,4/26/2019 15:52,21.31776256,5.718641151,6.981734463,password
4/26/2019 15:52,1,low,,,,,,,,,,,,,,,,,,,,,,password
4/26/2019 15:52,11.1,high,,,,4/26/2019 15:52,71.01879724,79.7736955,,,,,,4/26/2019 15:52,0, off,4/26/2019 15:52,29.81382281,1,4/26/2019 15:52,33.67798786,2.599136943,48.59788124,password
4/26/2019 15:52,6.55,high,,,,4/26/2019 15:52,71.87029913,77.81237217,,,,,,4/26/2019 15:52,1, on,4/26/2019 15:52,27.01859556,1,4/26/2019 15:52,21.31776256,5.718641151,6.981734463,password
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,0, off,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:31,1, on,,,,,,,,backdoor
,,,,,,,,,,,,,,4/28/2019 15:32,0, off,,,,,,,,backdoor
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,open,true  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,open,true  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/2/2019 4:07,closed,false  ,,,,,,,,,,,,,,,,,,,normal
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,open,1,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:28,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,4/28/2019 23:29,closed,0,,,,,,,,,,,,,,,,,,,backdoor
,,,,,,,,,3/31/2019 12:42,35982,55900,20850,1649,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,35982,55900,20850,1649,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,35982,55900,20850,1649,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,35982,55900,20850,1649,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,56001,28939,26163,21505,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,56001,28939,26163,21505,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,56001,28939,26163,21505,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,64284,60160,63398,17147,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,43915,1546,53384,62503,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,64284,60160,63398,17147,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,32368,2078,56027,42169,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,3719,12718,57050,25369,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,3719,12718,57050,25369,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,3719,12718,57050,25369,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,3719,12718,57050,25369,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,57299,11369,19351,50813,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,57299,11369,19351,50813,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,46260,32894,60956,43007,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,57299,11369,19351,50813,,,,,,,,,,,normal
,,,,,,,,,3/31/2019 12:42,51930,25443,26641,44687,,,,,,,,,,,normal
4/25/2019 9:45,1,low,,,,,,,,,,,,,,,,,,,,,,injection
4/25/2019 9:45,3.35,low,,,,,,,,,,,,,,,,,,,,,,injection
4/25/2019 9:45,1,low,4/25/2019 9:45,closed,0,,,,,,,,,,,,,,,,,,,injection
,,,4/25/2019 9:45,closed,0,,,,,,,,,,,,,,,,,,,injection
,,,4/25/2019 9:45,closed,0,,,,4/25/2019 9:45,31928,55390,5543,49806,,,,,,,,,,,injection
,,,,,,,,,4/25/2019 9:45,2419,25444,110,41148,,,,,,,,,,,injection
,,,,,,,,,4/25/2019 9:45,2419,25444,110,41148,4/25/2019 9:45,1, on,,,,,,,,injection
,,,,,,,,,,,,,,4/25/2019 9:45,0, off,,,,,,,,injection
4/25/2019 9:45,13.55,high,4/25/2019 9:45,closed,0,,,,4/25/2019 9:45,2419,25444,110,41148,4/25/2019 9:45,1, on,,,,,,,,injection
4/25/2019 9:45,12.25,high,4/25/2019 9:45,closed,0,,,,4/25/2019 9:45,2419,25444,110,41148,4/25/2019 9:45,0, off,,,,,,,,injection
,,,,,,,,,4/25/2019 9:45,1985,5317,12956,35600,4/25/2019 9:45,0, off,,,,,,,,injection
4/25/2019 9:45,5.65,low,,,,,,,4/25/2019 9:45,1985,5317,12956,35600,,,,,,,,,,,injection
