z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
0.0055755433,0.0063133715,0.0013957167,-0.0015362741,0.0011709142,0.004521797,-0.003647733,0.0013980936,0.003121813,0.01132337,-0.028684037,-0.00500661,0.009744909,0.0004064899,-0.007209618,0.014414649
0.059784263,0.007480839,0.00015998175,0.0037095305,-0.017140474,0.024842497,-0.015552001,-0.0073213107,0.0083437385,0.029546076,-0.018887307,0.0062475363,0.016100015,-0.0029874544,-0.009747539,0.041140594
0.0060228445,0.007872545,0.00033135805,-0.0028773323,0.0021553512,0.014494796,-0.004849845,0.009830158,0.01024311,0.008552611,-0.009670145,-0.0021155577,-0.017004564,-0.010114393,0.00890829,-0.0027033016
-0.02591261,0.011358541,-0.010567523,-0.0071060373,0.012109948,-0.019397963,-0.0018273005,-0.0040115444,0.003589343,-0.037725136,0.011784199,-0.00061408343,0.00017500596,-0.022092735,0.01089483,-0.019622298
-0.040195223,0.0049194936,-0.006414926,0.004644499,0.017991142,-0.009220381,0.0011897543,0.006165124,0.011391222,-0.01697623,0.010498435,-0.00871138,0.0007033383,8.338248e-05,-0.000698815,-0.005985808
-0.010605978,0.014441051,-0.008135782,-0.016633606,-0.010835363,-0.009544923,-0.010856245,0.0109538045,0.00012618059,-0.00411596,-0.006162245,-0.001833336,-0.016976336,-0.0147076575,0.0063168285,-0.008269215
0.016043084,-0.0035784459,0.01580144,0.019616166,-0.029531676,0.003125047,-0.01192527,0.008823823,0.011212328,0.02207444,-0.031088755,-0.011532733,0.0021405756,0.011776879,-0.013433159,0.023764927
0.02734211,0.007405642,0.027173089,0.010819272,-0.035205867,0.004793454,-0.012239125,0.0009243535,0.008201556,0.038790815,-0.041422598,-0.025649548,-0.0009588755,0.0064970544,0.011522631,0.039595723
-0.026206903,0.0123210605,-0.0017828513,-0.00014440314,-0.003957471,-0.018201716,0.00846143,0.006895114,-0.004818569,-0.02046715,0.012564025,-0.0036012628,-0.0030168581,-0.0007451609,-0.007990955,-0.011252327
-0.04137316,-0.0059379064,-0.026144283,-0.010811603,0.017908176,-0.00059062976,0.0097996965,0.0043017864,0.005638893,-0.041904908,0.015897091,0.0021111662,-0.00967075,-0.004416446,-0.0005571584,-0.030526098
