z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
-0.07162742,0.0011762884,-0.031861547,-0.020401033,0.023753041,-0.0128677,0.010333874,0.0020883798,-0.0070051253,-0.050463397,0.029983403,-0.005404502,0.0038104523,-0.014159048,0.0026626294,-0.04003708
-0.051079556,0.0073934854,-0.02499579,-0.022348287,0.015701892,-0.0065347683,0.0062283822,-0.0012940846,-0.0020035738,-0.042319905,0.025423026,0.0054289,-0.011655115,-0.012074285,0.00588353,-0.031701736
-0.02917042,0.011741678,-0.025183814,-0.007937502,0.0077518215,-0.004152699,0.0049073473,0.0023370637,0.0017162617,-0.026931226,0.022823656,0.0034798314,-0.0032996354,-0.003474668,0.0070887795,-0.026343144
-0.028064717,0.0021687062,-0.010875897,-0.0050607584,0.0053605568,-0.010289113,0.005440028,0.0015775411,0.0031352649,-0.017320523,0.016421808,-0.0013552939,-0.00767967,-0.0068512675,-0.0036412813,-0.008426031
-0.023374917,0.011071926,-0.007443546,-0.0003302963,0.0035581943,-0.00027176517,0.0040655658,-0.00037886773,0.0049211467,-0.011185809,0.0054603443,-0.004976484,-0.00011286093,-0.0023504195,0.0034608736,-0.009645397
-0.0085811205,0.007969488,-0.012042367,-0.008190429,0.005429862,-0.016686838,-0.00019415212,0.0006092696,0.0024047713,-0.012036835,0.011035467,-0.002161085,0.0030761347,1.7301529e-05,0.0014311033,-0.015581613
-0.009308494,0.008068923,-0.014110092,-0.00029467186,-0.006717646,-0.0046897773,0.0008774913,0.0012664029,0.0050713522,-0.0057676435,0.0076030726,-0.0019808868,-0.006356766,-0.0038313507,0.0014223189,-0.007311154
-0.008126948,0.0015569138,-0.00562721,-0.0036954922,0.0031230487,0.0016420664,0.0032762955,8.9832e-05,-0.0035159206,-0.001163095,-0.00730625,-0.0038520913,0.00045382744,-0.0029238788,-0.002153718,-0.014607441
-0.013867412,-0.0027615754,-0.0023160144,-0.00075592025,-0.0064031095,-0.00012021884,0.005164574,0.005968798,0.0053510903,-0.0056848135,-0.0016115212,-0.005923286,-0.0036308395,0.0028210925,-0.0029717856,0.0045840214
-0.0033365546,0.0014465004,-0.0009765433,0.004405934,-0.01751805,0.009369325,0.0048013767,0.0060216375,0.0077832486,0.003144321,-0.010457442,0.0016037696,-0.0055914875,-0.0014162088,-0.005006917,0.012826731
0.0038014366,0.009796508,-0.0029768734,-0.004547294,-0.007246837,0.0056702984,-0.002406374,0.0042277724,0.014818057,-0.00039639743,-0.006670816,0.0009568357,-0.0027796119,0.006777478,0.0030458749,0.007853015
0.0026086099,0.0072855693,0.002646368,0.0011615293,-0.009759694,0.0016246929,0.005261213,0.0065213228,0.010053644,0.0054873666,0.00037710601,-0.007322658,0.00049434043,0.0038291877,-0.0008291088,0.014572443
0.0127133485,0.007518582,0.005050492,0.0051972587,-0.008281062,-0.0022862214,-0.006884397,0.008863015,0.0057635303,0.009300719,-0.0034136723,-0.0061489074,0.005058427,0.0002390761,-0.0022063954,0.005799027
0.014635671,0.016852086,0.012815814,0.007870177,-0.021225682,0.0038745492,-0.008278899,0.0050313664,0.010494241,0.02749134,-0.016379237,-0.00835922,0.0010703676,-0.0019231248,0.0010531903,0.021967242
0.01567799,0.0066651944,0.0030749594,0.014221568,-0.023641793,0.0036446312,-0.0052604103,0.00053192314,0.009673788,0.017690446,-0.019498974,-0.009770215,-0.0007869223,-0.0042306436,-0.0073328316,0.031075172
0.023855131,0.0011881012,0.010927674,0.0068558105,-0.02021046,0.011953365,-0.011632709,0.0010688122,0.0032525545,0.027876763,-0.024211718,-0.004149524,-0.0032486166,-0.0017829464,-0.010774493,0.015438478
0.03641743,0.010523269,0.015996607,0.015965465,-0.01561536,0.0080868825,-0.0036823396,0.0023723752,0.0038946054,0.030202957,-0.021109395,-0.008650562,-0.008506993,0.006149971,-0.0016936152,0.02316135
0.025900524,0.005187623,0.019494763,0.01891188,-0.014832349,0.0044594873,0.0038731443,0.007068364,0.016423836,0.031519536,-0.022010848,-0.004531294,0.008357424,0.0078032245,-0.0049798973,0.022340523
0.023135275,0.0067915013,0.027353266,0.01331044,-0.022832656,0.015525396,-0.007591054,-0.003544246,0.010624698,0.035817213,-0.029614598,-0.012377817,0.006378722,0.010519531,-0.00564682,0.033817787
