z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
-0.03130984,0.10976366,-0.003183374,0.06906316,0.06087482,0.07477164,-0.06918893,0.24071564,0.037430055,-0.10639524,0.12455164,-0.04495217,0.09172165,-0.1381826,-0.073430635,-0.1598158
-0.026696581,0.064270005,0.030019611,0.0868745,0.0012996295,0.06876647,-0.16032258,0.31889644,0.1853705,-0.11227255,0.14607649,-0.062904395,0.10378209,-0.17691317,-0.17295332,-0.11104331
-0.06657458,-0.017657664,0.02145227,0.1026426,0.023667594,0.0803802,-0.09408655,0.3044986,0.18588527,-0.0431253,0.06943563,-0.068777196,0.1271714,-0.20363756,-0.10727349,-0.15069112
-0.07389435,0.046151556,0.06450227,0.046370395,0.07003039,-0.009465739,-0.018267965,0.2147941,0.1276648,-0.081061475,0.10979988,-0.048994415,0.10456633,-0.15674384,-0.040116396,-0.13018042
-0.059532095,0.08406913,0.023281356,0.051028438,-0.0107343355,-0.012083185,-0.10401268,0.29255176,0.13682912,-0.09016114,0.11010259,0.0074031064,0.04306065,-0.15620063,-0.102371,-0.06954668
-0.09336974,0.031908505,0.023065675,0.06688975,0.073310025,-0.009930686,-0.1408873,0.30266324,0.10143634,-0.06284165,0.10141167,-0.02371577,0.09508365,-0.17514762,-0.11307107,-0.085303776
-0.0442267,0.060972482,0.041595608,0.027500074,0.050097257,-0.007383216,-0.05582578,0.30204603,0.12068181,-0.1502128,0.12012805,0.05482862,0.075958215,-0.2016994,-0.118021294,-0.11580284
-0.029353494,0.00827597,-0.04216588,0.02961219,0.029266983,0.01043592,-0.05504275,0.30458364,0.14109431,-0.121191934,0.05113688,-0.049361832,0.05970232,-0.18127948,-0.120034724,-0.08862236
-0.034001358,0.06976589,0.010216434,0.017401192,0.02300094,0.10333676,-0.08485996,0.29148182,0.07113553,-0.07750747,0.09074959,-0.078509696,0.14709516,-0.10092102,-0.043318454,-0.16910756
-0.04935542,0.044072475,0.011072253,0.13925947,0.028677346,0.06742814,-0.038371444,0.27696273,0.095638886,-0.0683269,0.11567838,0.032108787,0.17387669,-0.095346496,-0.06553022,-0.20051889
-0.012638479,0.100961685,0.045898665,0.013459582,0.040383156,0.019055847,-0.08801301,0.22716711,0.13501854,-0.059884448,0.18156806,-0.06781141,0.10315254,-0.15553121,-0.05178027,-0.116026565
-0.050035648,0.054141805,0.10578347,0.0738945,0.0140218735,0.028845713,-0.03683678,0.39212665,0.1698421,-0.16413529,0.12311692,0.016055312,0.0797695,-0.1549826,-0.09701504,-0.05448896
0.008348722,0.06733148,0.008745577,0.08009771,0.016938413,0.070482686,-0.084965385,0.31133884,0.19483232,-0.028749386,0.108597614,-0.019975951,0.08688253,-0.15432015,-0.16971718,-0.109223664
-0.0041500274,0.09030808,0.0393444,0.07191527,0.0020457904,0.04911005,-0.0072345817,0.33372015,0.15191814,-0.15631229,0.098065525,-0.0671631,0.05514463,-0.16583465,-0.111318246,-0.13326824
-0.025470193,0.06756295,0.02132909,0.1205647,0.013546442,0.0812224,-0.07070193,0.20980789,0.03250131,-0.03754776,0.15219977,-0.006724345,0.14695302,-0.05884146,-0.093856625,-0.107387565
-0.075766906,0.0029391663,0.028031604,0.08993269,-0.013613071,0.10395201,-0.10898444,0.35492724,0.17257541,-0.04648876,0.06038153,-0.08212756,0.14569588,-0.1263101,-0.21130325,-0.13089557
-0.026606442,0.09910836,-0.06203156,0.10033187,-0.029536763,0.1042552,-0.12618491,0.27839512,0.14379683,-0.015977688,0.12440724,-0.030315556,0.09552541,-0.12676367,-0.1601033,-0.14306535
-0.03260498,0.093655996,0.027584236,0.06813772,0.049943205,-0.023882749,-0.111697674,0.38357002,0.22485544,-0.13724653,0.10607611,-0.035785057,0.0682808,-0.1777827,-0.2136023,-0.12592502
-0.022327283,0.053326245,-0.041366477,0.054424297,0.027212985,0.0106825065,-0.044804554,0.34532347,0.18072423,-0.11979427,0.075572565,-0.06866686,0.06598616,-0.12907043,-0.10748841,-0.11608471
-0.08322894,0.05633882,-0.008236304,0.09878619,0.035724755,0.009791025,-0.076573975,0.23603235,0.17337874,-0.09107814,0.076910764,-0.10148322,0.122702345,-0.103472546,-0.122428365,-0.21654205
-0.010149768,0.10981817,0.037941128,0.05145451,-0.00023611724,0.08120251,-0.0870633,0.32347617,0.2166383,-0.0663353,0.15639558,-0.13700953,0.06982268,-0.16568859,-0.05898143,-0.110399574
0.039413467,0.040846873,0.05004431,0.025444312,-0.0032495768,0.014044511,0.0069249463,0.30708307,0.12419474,-0.12556495,0.11265746,-0.017007101,0.11793574,-0.097744815,-0.071718134,-0.101499975
0.024137395,0.029884888,-0.02802733,0.05490759,0.0068261493,0.054992195,-0.045045245,0.28984195,0.16819917,-0.008964501,0.15618211,-0.035800934,0.1520085,-0.112155505,-0.08875886,-0.11502477
-0.02890572,0.09339749,0.025298735,0.0068203826,0.053536333,0.08378432,-0.14970073,0.32213995,0.13769397,-0.14758225,0.14927086,-0.07888714,0.061074875,-0.16744041,-0.16768649,-0.07450968
-0.071869634,0.070034444,-0.018651085,0.08965166,0.029939547,0.01567888,-0.12184761,0.3061744,0.1614719,-0.1285115,0.13003244,-0.09745008,0.1290472,-0.17175798,-0.13035849,-0.22007994
0.0131681105,0.08556551,0.020138633,0.07581379,0.059576068,-0.048741553,-0.08027782,0.27786368,0.11130293,-0.13893172,0.09090133,-0.0072572385,0.05998958,-0.19924481,-0.1367239,-0.14160441
-0.054717474,0.121618934,0.03775099,0.11436497,0.01662508,-0.01056507,-0.10094417,0.3422488,0.16204946,-0.094456516,0.13658957,-0.03390127,0.098160885,-0.15217824,-0.12644237,-0.16352093
-0.062472038,0.032678448,0.00865934,0.103074245,0.039401334,0.03803038,-0.035970762,0.28401124,0.15866059,-0.03967669,0.08043251,-0.062121987,0.13281053,-0.08058715,-0.10506814,-0.14522171
-0.06575786,0.07126915,0.09447328,0.058825906,0.013417024,0.027329225,-0.07737513,0.24985671,0.09346805,-0.06703654,0.1953556,0.020445896,0.14878173,-0.11317947,-0.03845688,-0.04783517
0.028651016,0.062423836,0.03581001,0.09941183,0.039872374,0.033336613,-0.029690873,0.31238958,0.16025347,-0.11492654,0.13357398,-0.08531729,0.07094894,-0.13461255,-0.15144071,-0.10427922
