z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
-0.030475529,0.064554036,-0.0017484464,0.1126972,0.005322857,0.042213876,-0.1277509,0.3381291,0.1516094,-0.10989867,0.12132693,-0.06537037,0.12586257,-0.13533613,-0.15077282,-0.16547418
-0.03667638,0.0745337,0.019211093,0.05062754,0.048509408,-0.025359858,-0.10254698,0.30156797,0.121042795,-0.11030383,0.11418515,-0.008905491,0.06881295,-0.17270622,-0.13605282,-0.10430113
0.024137396,0.029884888,-0.028027331,0.05490759,0.0068261493,0.054992195,-0.045045245,0.28984195,0.16819917,-0.008964501,0.15618211,-0.035800934,0.1520085,-0.112155505,-0.08875886,-0.11502477
-0.02784478,0.087839425,0.042122364,0.04554514,0.023068104,0.034280326,-0.08955474,0.24821782,0.14241539,-0.046012063,0.15917695,-0.07071911,0.103133805,-0.13158724,-0.09670433,-0.1250329
-0.013640797,0.058968753,0.039124973,0.07876135,0.004326354,0.049569517,-0.035131924,0.34082812,0.15180662,-0.13738093,0.103756435,-0.051191375,0.079407945,-0.16049235,-0.11784988,-0.116413794
-0.06957992,0.026237588,0.016366612,0.10833273,0.024467235,0.036531232,-0.06878191,0.26396698,0.16244796,-0.082740344,0.09826539,-0.09318443,0.14071345,-0.111578695,-0.11460594,-0.15006495
-0.027800873,0.06169076,0.027682343,0.08835922,0.005678924,0.06946254,-0.0712123,0.3199168,0.16404456,-0.049618676,0.13472492,-0.0031297803,0.08621861,-0.17274949,-0.15441494,-0.10860011
-0.0146411285,0.024653863,0.03174166,0.11244903,-0.013144771,0.097413346,-0.030420143,0.30891764,0.15473282,-0.08770919,0.10537259,-0.040168125,0.10423816,-0.097410575,-0.06807865,-0.1381293
-0.08338832,0.09408198,0.020556191,0.10965196,0.044586085,0.0044639744,-0.15177383,0.26145643,0.118944645,-0.10605577,0.1071445,-0.04800474,0.08416888,-0.19412681,-0.13943492,-0.12131987
0.0138455145,0.011073131,0.009042544,0.03845788,0.07608854,0.09744148,0.106882125,0.28765792,0.081878625,-0.03563913,0.12546809,0.04878735,0.17118818,-0.03840013,0.026874162,-0.14199932
0.02388189,0.09009707,0.021300372,0.10038142,0.005754021,0.045575168,0.0028988868,0.3640621,0.115114115,-0.057946306,0.11799732,0.105700046,0.06367724,-0.08288981,-0.094836086,-0.14913553
-0.05035574,0.053659655,0.026402013,0.056184236,0.009836666,0.11433315,-0.08169627,0.2946108,0.08639561,-0.0969052,0.089283854,-0.06598338,0.17036343,-0.08084386,-0.05381674,-0.1621236
0.0068388395,-0.027969245,0.012736637,0.143148,0.009625671,0.11052191,-0.0017851964,0.1744943,0.038989484,-0.07149111,0.10366518,0.009384308,0.14661987,-0.13511062,0.012637779,-0.15040666
-0.044450976,0.025265351,0.005191643,0.11928032,0.028510919,0.05569733,-0.020115476,0.2859779,0.07775928,-0.06791816,0.106641725,-0.0009240024,0.1306008,-0.082247995,-0.043587722,-0.17831564
-0.036118362,0.09912467,0.004646601,0.08521492,0.011806894,0.0004989356,-0.1168173,0.37254715,0.201947,-0.098103575,0.10135302,-0.034871064,0.050293315,-0.1835598,-0.20758802,-0.1262053
-0.0041350126,0.10652518,0.0074484143,0.09639372,0.020797318,0.011068698,-0.08396892,0.35009867,0.15192221,-0.10851294,0.1496615,-0.004922051,0.09608099,-0.1878599,-0.13645652,-0.16001274
-0.045300867,0.12952545,-0.003334945,0.076542184,0.04140444,0.06121052,-0.10531247,0.2646612,0.080457814,-0.096855745,0.11651541,-0.03422513,0.098613404,-0.17155127,-0.1025214,-0.1774551
-0.04599639,0.04253864,0.044847332,0.03866116,0.06540964,0.004502002,-0.033170663,0.2761573,0.12558466,-0.11941002,0.12909955,-0.003177423,0.092919275,-0.16692853,-0.07962738,-0.117087826
-0.02835314,0.022518951,-0.022971882,0.067350134,0.017479489,0.015746862,-0.06366441,0.33566204,0.17693584,-0.13064454,0.06485524,-0.053189255,0.066284016,-0.1576363,-0.1320815,-0.111700565
-0.0022125207,0.041832775,0.015979437,0.06271625,0.04567873,0.10538784,-0.040506147,0.27633113,0.10621455,-0.08623998,0.19098341,-0.03209021,0.11605348,-0.12875497,-0.055992015,-0.12947193
0.0066762157,0.042732976,0.045525596,0.031180102,0.032285064,0.005005177,-0.006265804,0.32512006,0.16147305,-0.1144729,0.13228326,-0.046412304,0.11835175,-0.10035432,-0.07721393,-0.1005152
-0.0027692132,0.032356605,0.006070623,0.052903716,-0.009564815,0.03768304,-0.13366486,0.3368044,0.20325437,-0.080370285,0.10849114,-0.05638068,0.09016252,-0.1357537,-0.13516203,-0.08476338
-0.06643149,0.012618523,0.03622832,0.11577473,0.0020747632,0.04829474,-0.11387293,0.3080639,0.1852007,-0.07477311,0.0862688,-0.06574996,0.11883942,-0.20238583,-0.122447416,-0.12949497
-0.04382372,0.0593285,0.061350696,0.08617195,0.0059079938,0.061854094,-0.07876701,0.2237713,0.08651121,-0.050918244,0.17829818,-0.0048518516,0.15988885,-0.09729928,-0.06456982,-0.08001536
-0.020695321,0.082459874,-0.05716148,0.02828145,-0.029476067,0.08252268,0.017716728,0.35852543,0.193839,-0.09446508,0.107769184,-0.06294208,0.09982767,-0.030049264,-0.068967216,-0.1400918
-0.010149768,0.10981817,0.037941128,0.05145451,-0.00023611635,0.08120251,-0.0870633,0.32347617,0.2166383,-0.0663353,0.15639558,-0.13700953,0.06982268,-0.16568859,-0.05898143,-0.110399574
-0.02890572,0.09339749,0.025298735,0.0068203807,0.053536333,0.08378432,-0.14970073,0.32213995,0.13769397,-0.14758225,0.14927086,-0.07888714,0.061074875,-0.16744041,-0.16768649,-0.07450968
-0.049772296,0.08448857,0.08543541,0.11112261,0.03242538,-0.008022953,-0.15636788,0.33905667,0.17902176,-0.12235454,0.15784055,-0.010003906,0.02056972,-0.19098759,-0.20977794,-0.031830773
-0.08497626,0.08363908,0.01431503,0.033939186,0.06277647,0.04874946,-0.049095042,0.35289717,0.18775293,-0.13759251,0.08458465,-0.15469466,0.106225714,-0.06686685,-0.10471322,-0.13762893
-0.052565336,0.030680494,0.008726003,0.10225593,0.028201703,0.02436794,-0.115378805,0.29212528,0.1097462,-0.07123732,0.09813043,-0.096747816,0.060480814,-0.12775658,-0.060604878,-0.10545863
-0.04425255,0.1094466,-0.049910672,0.121672034,-0.035471283,0.0983623,-0.113511086,0.3127263,0.15883833,-0.028725974,0.11021674,-0.03658123,0.09532473,-0.09956216,-0.15702638,-0.17187536
-0.075766906,0.0029391646,0.028031604,0.08993269,-0.013613073,0.10395201,-0.10898444,0.35492724,0.17257541,-0.04648876,0.06038153,-0.08212756,0.14569588,-0.1263101,-0.21130325,-0.13089557
