z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
-0.09789667,0.107278585,0.016058771,-0.23034775,0.03211833,-0.257389,-0.10040442,-0.23981024,0.18693651,-0.17820032,0.22621427,-0.15603714,0.15671232,-0.25043386,-0.31095836,0.18500693
-0.10936586,0.28834143,-0.240183,-0.06991075,0.13456732,0.10503082,-0.06874015,-0.21568076,0.051545702,0.09744916,-0.081696205,0.06483749,0.08828214,-0.2296007,0.11180838,-0.07561586
0.15907936,-0.1844577,-0.31774053,0.024345582,-0.06291802,0.044129025,-0.22335425,-0.11414408,-0.14127786,-0.16053405,-0.40463653,-0.13529478,0.108694576,-0.19065116,0.116513446,0.3618917
0.28248194,-0.23921242,-0.22374412,-0.0928168,0.10376794,-0.0062148026,-0.16509575,-0.2889234,-0.063743256,0.08960617,0.11385093,-0.0044215946,0.052848984,-0.27428153,-0.24918753,0.357445
-0.049496923,-0.0044709384,0.053029545,0.13948125,-0.1921082,-0.22882564,-0.016471935,-0.03771325,-0.07211216,-0.120446555,-0.3575132,0.017431958,0.3039705,-0.08832667,0.19888821,0.25727323
0.22716375,-0.13189663,-0.46900848,-0.19572224,0.15972988,0.3854,-0.17218983,0.018000947,-0.14906864,-0.05402381,-0.08555266,0.14232256,-0.0820074,-0.20537972,-0.11022411,0.1637535
-0.21404977,0.43587536,-0.043337088,0.075041644,0.0045949877,-0.075998515,0.13580696,0.12548864,0.111545,0.0024972328,-0.19847742,-0.033794038,-0.07079706,-0.040505093,0.17057495,0.021745723
-0.17000416,-0.10954517,-0.05596379,0.22055976,-0.18597215,-0.05619595,-0.14840175,-0.16316016,0.11006442,0.22405048,-0.071071714,-0.17088717,0.17607273,-0.15047093,-0.13351181,0.325668
-0.07542458,0.17640403,0.12124298,0.25583395,-0.123240545,-0.1280938,-0.040873438,0.034864195,0.20989297,-0.1899525,0.15255095,0.13324566,-0.25423154,-0.06323247,-0.064383194,0.3008213
0.14273645,0.12621447,-0.11184047,-0.16870236,-0.09685196,-0.03430488,0.09148495,0.18497036,0.019753652,-0.09818554,-0.039444335,-0.014092522,0.0086042285,-0.023151254,-0.3479981,-0.04923478
-0.3267317,-0.28314194,-0.30666333,0.122183606,-0.026333561,0.14709833,-0.013976878,-0.025613282,-0.12436993,0.32186317,-0.10956413,-0.39037907,0.21641932,-0.2331967,0.08982583,0.35068655
-0.25301212,-0.07027278,-0.06385824,0.3803374,-0.14106551,-0.17225763,-0.27245358,0.21205677,0.08324036,0.3945573,-0.034423895,0.064308636,0.18351606,-0.045697328,-0.33184344,0.18845105
0.049377855,-0.18797937,-0.04690061,0.16263382,-0.2245826,0.3105133,0.056567322,-0.050325386,0.11859557,0.0344141,-0.25252613,-0.18124974,0.10350075,-0.107393295,-0.14778762,0.10346019
0.07544122,0.03164408,0.12909177,-0.085396715,-0.2821295,-0.29235527,0.025225623,-0.12969416,-0.015600303,0.07072771,-0.011737719,0.14490949,0.17833047,-0.20540571,-0.09458141,0.26061437
0.39388222,0.16631076,-0.010011621,0.11833258,-0.06982757,-0.15796423,-0.014100735,-0.29591587,-0.015615427,0.11580162,0.040657744,0.016072322,0.09372738,-0.25473693,-0.16936426,0.25740004
0.15544982,0.16162021,0.15863955,-0.1291796,-0.06607946,-0.05228488,-0.10148591,0.123350985,0.17218623,-0.06829703,-0.008041313,0.29695818,-0.05799209,0.105449155,-0.29065153,0.23594195
