z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
0.049377855,-0.18797937,-0.046900608,0.16263382,-0.22458258,0.3105133,0.05656732,-0.050325386,0.11859557,0.0344141,-0.25252613,-0.18124974,0.10350075,-0.107393295,-0.14778762,0.10346019
-0.06287781,-0.07712273,-0.23218212,0.12982398,0.116085045,-0.021775365,0.20846751,0.13928293,0.10918285,-0.03503204,-0.18433234,0.12134621,0.21548726,-0.12991709,-0.10660712,0.21210006
0.31567737,-0.28648227,-0.15627897,-0.08596406,-0.014578458,0.022501227,-0.19741857,-0.2574421,-0.10833604,-0.015089128,0.05129072,-0.07196304,0.076631956,-0.30714288,-0.2064353,0.3129657
-0.21404977,0.43587536,-0.043337084,0.075041644,0.004594989,-0.075998515,0.13580696,0.12548864,0.111545,0.0024972335,-0.19847742,-0.033794038,-0.070797056,-0.040505096,0.17057495,0.021745726
0.10524117,0.37022153,-0.22006235,-0.38377362,0.06732337,0.101128444,-0.080018766,0.1158928,0.07743703,0.15167771,-0.3753683,0.19526607,-0.26102707,-0.27143484,0.05514863,0.359002
0.15544982,0.16162021,0.15863955,-0.1291796,-0.06607946,-0.05228488,-0.10148591,0.123350985,0.17218623,-0.06829703,-0.008041315,0.29695818,-0.05799209,0.105449155,-0.29065153,0.23594195
0.22716375,-0.13189663,-0.46900848,-0.19572224,0.1597299,0.3854,-0.17218983,0.018000947,-0.14906862,-0.05402381,-0.08555266,0.14232256,-0.08200739,-0.20537972,-0.11022411,0.1637535
-0.17000416,-0.10954518,-0.055963792,0.22055976,-0.18597215,-0.056195952,-0.14840175,-0.16316016,0.11006442,0.22405048,-0.071071714,-0.17088717,0.17607273,-0.15047093,-0.13351181,0.325668
0.16168417,0.49938112,-0.016704336,0.19557503,-0.2758331,-0.0040647145,0.13799378,0.48664734,0.15457602,0.014495514,-0.24514936,0.083712704,0.09313928,-0.070280835,-0.10941023,-0.43108737
-0.09789667,0.107278585,0.016058765,-0.23034775,0.032118328,-0.257389,-0.10040442,-0.23981024,0.18693653,-0.17820032,0.22621429,-0.15603714,0.15671232,-0.25043386,-0.31095836,0.18500693
0.07544122,0.03164408,0.12909177,-0.085396715,-0.2821295,-0.29235527,0.025225623,-0.12969416,-0.015600301,0.07072772,-0.011737719,0.14490949,0.17833047,-0.20540571,-0.09458141,0.26061437
-0.15104336,-0.42551315,-0.46946034,-0.030645758,0.23634082,0.34651747,0.20108159,-0.08037778,0.1442151,-0.16080733,-0.0053746104,0.3677161,-0.20313643,-0.061044566,0.20630191,0.03848049
-0.10936586,0.28834143,-0.240183,-0.06991075,0.13456732,0.10503082,-0.06874015,-0.21568076,0.051545702,0.09744917,-0.081696205,0.06483749,0.08828214,-0.2296007,0.111808375,-0.07561587
-0.078542285,-0.17878148,-0.16706927,-0.21373755,-0.08207729,0.042258024,0.07002099,-0.08630612,-0.0846444,-0.13975933,-0.16244443,0.11200923,0.12512182,0.09409611,-0.24405092,0.12417142
-0.03893902,0.008996553,-0.2768309,-0.15206702,-0.034453496,0.33288825,-0.13429047,-0.011971888,0.23004913,-0.20754752,-0.33744892,0.4396005,-0.49646115,-0.34088203,0.022795528,0.16876128
0.06584225,0.11232526,-0.005706668,-0.088702835,-0.0035238434,0.44355687,0.16683951,-0.019918771,0.38517827,-0.031966347,-0.49006197,0.09935225,-0.21084382,-0.057886347,-0.002664581,-0.103609875
-0.29786804,0.41199532,0.18926552,-0.090118185,-0.03668933,-0.03563446,0.18703383,-0.35090324,-0.06285056,-0.034087237,-0.16230115,0.2961859,-0.06295428,-0.3230758,-0.17220905,0.057123765
0.15907936,-0.1844577,-0.31774053,0.024345582,-0.06291802,0.044129025,-0.22335425,-0.11414408,-0.14127785,-0.16053405,-0.40463653,-0.13529478,0.10869458,-0.19065116,0.116513446,0.3618917
-0.07542458,0.17640403,0.12124298,0.25583395,-0.123240545,-0.12809381,-0.040873438,0.034864195,0.20989299,-0.1899525,0.15255094,0.13324566,-0.25423154,-0.06323247,-0.064383194,0.3008213
0.2292209,0.2654453,-0.12473954,0.14322998,0.056092642,0.09815189,-0.01431379,0.39523748,0.059924856,-0.19225374,-0.19579913,0.22426318,-0.03851855,0.07182564,-0.19833454,0.08865887
-0.04949692,-0.004470939,0.053029545,0.13948125,-0.19210818,-0.22882566,-0.016471935,-0.03771325,-0.07211216,-0.12044655,-0.3575132,0.01743196,0.3039705,-0.08832667,0.19888823,0.25727323
0.10920721,0.10456236,-0.2999103,-0.41618076,-0.02325749,0.2549102,-0.10311006,0.32492077,0.09227386,-0.13750155,-0.15615106,0.23348314,-0.11956087,-0.3111276,0.095486745,0.09427846
-0.3267317,-0.28314194,-0.30666333,0.12218361,-0.026333561,0.14709833,-0.013976878,-0.025613282,-0.12436993,0.32186317,-0.10956413,-0.39037907,0.21641932,-0.2331967,0.089825824,0.35068655
-0.25301212,-0.07027278,-0.06385824,0.3803374,-0.14106551,-0.17225763,-0.27245358,0.21205677,0.08324036,0.3945573,-0.034423895,0.064308636,0.18351606,-0.04569733,-0.33184344,0.18845105
-0.34839076,-0.20900926,-0.13019046,-0.30036244,-0.061168097,-0.3848896,-0.027792193,-0.026101049,-0.05408921,-0.33312967,-0.027568527,0.15367077,0.15636306,-0.06835956,-0.22809182,0.013798848
0.19330877,-0.1167495,-0.031189643,0.116612695,0.0061836913,0.0090139005,-0.18109699,-0.17956166,-0.03911885,0.25215742,-0.19618714,0.14369637,0.16849253,-0.037114397,-0.0012407079,0.46419704
-0.11722513,0.26827675,-0.14515151,-0.039059307,0.03156437,-0.16810098,0.16547038,0.10706087,0.09056016,0.12557212,0.09063068,0.18067627,0.16009001,-0.2781318,-0.27038378,0.20036909
0.14273645,0.12621447,-0.11184047,-0.16870236,-0.09685196,-0.03430488,0.09148495,0.18497036,0.019753652,-0.09818554,-0.039444335,-0.01409252,0.0086042285,-0.023151256,-0.34799808,-0.049234778
0.12498041,0.002899779,-0.26729676,0.10719078,-0.16424936,0.003681302,-0.09354559,-0.1499088,0.11046571,-0.0862671,-0.056501914,0.098158546,-0.034369323,-0.09243402,0.055225983,0.056344733
0.39388222,0.16631076,-0.010011621,0.11833259,-0.06982757,-0.15796423,-0.014100735,-0.29591587,-0.015615426,0.11580162,0.040657744,0.016072318,0.09372738,-0.25473693,-0.16936426,0.25740004
0.060406424,-0.13411213,-0.13546926,-0.09137502,0.12303003,-0.19738758,-0.15967712,0.14468926,0.15446274,-0.0863999,0.08412656,0.26208845,0.07698118,0.047650576,-0.13008066,0.13367222
0.18647972,-0.12558967,-0.1433975,-0.23424543,0.010169614,0.19732139,0.10645573,-0.10493229,-0.08806535,-0.025376666,0.029424042,0.14464748,0.00032078475,-0.2602475,-0.2724546,0.21660767
