src_port,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,src_ip.part1,src_ip.part2,src_ip.part3,src_ip.part4,src_ip.part5,src_ip.part6,dst_ip.part1,dst_ip.part2,dst_ip.part3,dst_ip.part4,dst_ip.part5,dst_ip.part6
51902,80,tcp,http,0.023097,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51904,80,tcp,http,0.073148,155,978,SF,0,5,375,5,1190,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51906,80,tcp,http,0.013208,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51908,80,tcp,http,0.057264,152,518,SF,0,5,372,5,730,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51910,80,tcp,http,0.012808,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51912,80,tcp,http,0.011342,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51914,80,tcp,http,0.010753,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51916,80,tcp,http,0.010518,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
51918,80,tcp,http,0.042513,161,2009,SF,0,5,381,5,2221,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
47618,80,tcp,-,1.2e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,193,-1,-1
56680,80,tcp,http,0.016402,147,978,SF,0,5,367,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
56682,80,tcp,http,0.040591,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
56684,80,tcp,http,0.018212,155,978,SF,0,6,415,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
56686,80,tcp,http,0.012649,155,978,SF,0,5,375,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
57970,21,tcp,-,0.000137,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,193,-1,-1
57974,21,tcp,-,1.4e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,193,-1,-1
58770,21,tcp,-,0.000139,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,184,-1,-1
58774,21,tcp,-,1.7e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,184,-1,-1
34028,21,tcp,ftp,10.748466,87,188,RSTR,0,17,979,16,1016,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,194,-1,-1
42176,21,tcp,-,1.5e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,193,-1,-1
34108,80,tcp,http,0.016066,161,2009,SF,0,5,381,5,2221,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,195,-1,-1
39018,80,tcp,http,0.018847,161,2009,SF,0,5,381,5,2221,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
39020,80,tcp,http,0.018859,161,2009,SF,0,5,381,5,2221,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,195,-1,-1
56114,21,tcp,-,0.004273,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,192,168,1,152,-1,-1
58520,21,tcp,ftp,3.470432,87,215,SF,0,18,1031,12,823,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,31,-1,-1,176,28,50,165,-1,-1
34154,21,tcp,ftp,3.510196,86,215,SF,0,18,1030,12,823,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,176,28,50,165,-1,-1
41737,53,udp,dns,0.012853,84,424,SF,0,2,140,2,480,detectportal.firefox.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,1,-1,-1
43694,80,tcp,http,293.806605,2304,3072,SF,0,47,4756,38,5056,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,101,119,11,17,-1,-1
48556,53,udp,dns,0.003413,84,436,SF,0,2,140,2,492,detectportal.firefox.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,1,-1,-1
52594,21,tcp,-,1.8e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,193,-1,-1
52600,21,tcp,-,3.3e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,193,-1,-1
53824,80,tcp,http,0.005511,147,3440,SF,0,5,415,7,3812,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,192,168,1,30,-1,-1,192,168,1,152,-1,-1
