fridge.datetime_dev,fridge.fridge_temperature_dev,fridge.temp_condition_dev,garage_door.datetime_dev,garage_door.door_state_dev,garage_door.sphone_signal_dev,gps_tracker.datetime_dev,gps_tracker.latitude_dev,gps_tracker.longitude_dev,modbus.datetime_dev,modbus.FC1_Read_Input_Register_dev,modbus.FC2_Read_Discrete_Value_dev,modbus.FC3_Read_Holding_Register_dev,modbus.FC4_Read_Coil_dev,motion_light.datetime_dev,motion_light.motion_status_dev,motion_light.light_status_dev,thermostat.datetime_dev,thermostat.current_temperature_dev,thermostat.thermostat_status_dev,weather.datetime_dev,weather.temperature_dev,weather.pressure_dev,weather.humidity_dev,type_dev,disk.RDDSK_lin,disk.WRDSK_lin,disk.WCANCL_lin,disk.DSK_lin,memory.MINFLT_lin,memory.MAJFLT_lin,memory.VSTEXT_lin,memory.VSIZE_lin,memory.RSIZE_lin,memory.VGROW_lin,memory.RGROW_lin,memory.MEM_lin,process.TRUN_lin,process.TSLPI_lin,process.TSLPU_lin,process.POLI_lin,process.NICE_lin,process.PRI_lin,process.RTPR_lin,process.CPUNR_lin,process.Status_lin,process.EXC_lin,process.State_lin,process.CPU_lin,PID_lin,CMD_lin,type_lin,src_ip_net,src_port_net,dst_ip_net,dst_port_net,proto_net,service_net,duration_net,src_bytes_net,dst_bytes_net,conn_state_net,missed_bytes_net,src_pkts_net,src_ip_bytes_net,dst_pkts_net,dst_ip_bytes_net,dns_query_net,dns_qclass_net,dns_qtype_net,dns_rcode_net,dns_AA_net,dns_RD_net,dns_RA_net,dns_rejected_net,ssl_version_net,ssl_cipher_net,ssl_resumed_net,ssl_established_net,ssl_subject_net,ssl_issuer_net,http_trans_depth_net,http_method_net,http_uri_net,http_version_net,http_request_body_len_net,http_response_body_len_net,http_status_code_net,http_user_agent_net,http_orig_mime_types_net,http_resp_mime_types_net,weird_name_net,weird_addl_net,weird_notice_net,type_net,device_label,linux_label,network_label,final_label
,,,,,,,,,,,,,,,,,4/2/2019 4:06,32.33031471,0,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11211,<apache2>,ddos,192.168.1.36,42668,192.168.1.1,53,udp,dns,0.012549,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.50169608,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11213,<apache2>,ddos,192.168.1.36,45289,192.168.1.1,53,udp,dns,0.01228,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,26.98915767,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11231,<apache2>,ddos,192.168.1.36,57146,192.168.1.1,53,udp,dns,0.012755,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,32.27834863,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11233,<apache2>,ddos,192.168.1.36,58484,176.28.50.165,80,tcp,-,3.037611,0,0,S0,0,3,180,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,29.34134259,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11236,<apache2>,ddos,192.168.1.36,58486,176.28.50.165,80,tcp,-,3.032385,0,0,S0,0,3,180,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,26.07828425,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11238,<apache2>,ddos,192.168.1.36,58488,176.28.50.165,80,tcp,-,3.029065,0,0,S0,0,3,180,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,29.38803615,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11241,<apache2>,ddos,192.168.1.36,58490,176.28.50.165,80,tcp,-,3.033093,0,0,S0,0,3,180,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.94530135,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11243,<apache2>,ddos,192.168.1.32,32800,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.41166287,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11245,<apache2>,ddos,192.168.1.32,32943,192.168.1.1,53,udp,dns,5.10E-05,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,31.17859387,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11247,<apache2>,ddos,192.168.1.32,32998,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.91041622,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11251,<apache2>,ddos,192.168.1.32,33024,52.28.231.150,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,29.55084781,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11253,<apache2>,ddos,192.168.1.32,33120,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,29.58632268,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11255,<apache2>,ddos,192.168.1.32,33132,18.194.169.124,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,26.99248713,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11258,<apache2>,ddos,192.168.1.32,33206,18.194.169.124,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.00372628,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11260,<apache2>,ddos,192.168.1.32,33392,52.28.231.150,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.64176714,0,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11262,<apache2>,ddos,192.168.1.32,33406,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,28.97978091,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11264,<apache2>,ddos,192.168.1.32,33579,192.168.1.1,53,udp,dns,0.013244,80,80,SF,0,2,136,2,136,www.mqtt-dashboard.com,1,1,5,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.15104469,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11266,<apache2>,ddos,192.168.1.32,33676,18.194.169.124,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,32.64116951,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11268,<apache2>,ddos,192.168.1.32,33798,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,,,,4/2/2019 4:06,27.89467014,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11270,<apache2>,ddos,192.168.1.32,33916,176.28.50.165,80,tcp,-,0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,xss,ddos,ddos,ddos,ddos
,,,,,,,,,,,,,,3/31/2019 12:44,0, off,,,,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10271,apache2,ddos,192.168.1.30,34644,192.168.1.190,80,tcp,-,4.00E-06,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,3/31/2019 12:44,1, on,,,,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10273,apache2,ddos,192.168.1.30,34646,192.168.1.190,80,tcp,-,0.007612,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,3/31/2019 12:44,0, off,3/31/2019 12:44,26.54893865,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10275,apache2,ddos,192.168.1.30,34648,192.168.1.190,80,tcp,-,0.001247,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,27.94170617,1,,,,,normal,0,0,4,0.03,,,,,,,,,,,,,,,,,,,,,10276,apache2,ddos,192.168.1.30,34650,192.168.1.190,80,tcp,-,0.00015,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,25.94346977,0,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10278,apache2,ddos,192.168.1.30,34652,192.168.1.190,80,tcp,-,0.000244,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,26.58760263,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10280,apache2,ddos,192.168.1.30,34654,192.168.1.190,80,tcp,-,0.000758,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,25,0,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10282,apache2,ddos,192.168.1.30,34656,192.168.1.190,80,tcp,-,0.0013,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,31.7591332,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10284,apache2,ddos,192.168.1.30,34658,192.168.1.190,80,tcp,-,0.000288,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
,,,,,,,,,,,,,,,,,3/31/2019 12:44,28.71147215,1,,,,,normal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10286,apache2,ddos,192.168.1.30,34660,192.168.1.190,80,tcp,-,0.000157,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,ddos,scanning,scanning,scanning,scanning
