fridge.datetime,fridge.fridge_temperature,fridge.temp_condition,garage_door.datetime,garage_door.door_state,garage_door.sphone_signal,gps_tracker.datetime,gps_tracker.latitude,gps_tracker.longitude,modbus.datetime,modbus.FC1_Read_Input_Register,modbus.FC2_Read_Discrete_Value,modbus.FC3_Read_Holding_Register,modbus.FC4_Read_Coil,motion_light.datetime,motion_light.motion_status,motion_light.light_status,thermostat.datetime,thermostat.current_temperature,thermostat.thermostat_status,weather.datetime,weather.temperature,weather.pressure,weather.humidity,disk.RDDSK,disk.WRDSK,disk.WCANCL,disk.DSK,memory.MINFLT,memory.MAJFLT,memory.VSTEXT,memory.VSIZE,memory.RSIZE,memory.VGROW,memory.RGROW,memory.MEM,process.TRUN,process.TSLPI,process.TSLPU,process.POLI,process.NICE,process.PRI,process.RTPR,process.CPUNR,process.Status,process.EXC,process.State,process.CPU,PID,CMD,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice
,,,3/31/2019 12:41,closed,false  ,,,,3/31/2019 12:41,7717.0,17104.0,5115.0,19828.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11194.0,<systemd-udev>,192.168.1.31,55334,192.168.1.1,53,udp,dns,0.065394,66,319,SF,0,2,122,2,375,io.narrative.io,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,7717.0,17104.0,5115.0,19828.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11198.0,<systemd-udev>,192.168.1.31,58222,192.168.1.1,53,udp,dns,0.066954,62,345,SF,0,2,118,2,401,disqusads.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,37489.0,31450.0,32566.0,7871.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11202.0,<systemd-udev>,192.168.1.31,59861,192.168.1.1,53,udp,dns,0.063766,84,327,SF,0,2,140,2,383,sb.scorecardresearch.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,37489.0,31450.0,32566.0,7871.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11206.0,<systemd-udev>,192.168.1.31,60734,192.168.1.1,53,udp,dns,0.030716,90,184,SF,0,2,146,2,240,googleads.g.doubleclick.net,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,37489.0,31450.0,32566.0,7871.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11210.0,<systemd-udev>,192.168.1.31,33443,192.168.1.1,53,udp,dns,0.012614,64,108,SF,0,2,120,2,164,www.google.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,21469.0,900.0,12617.0,52311.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11214.0,<systemd-udev>,192.168.1.31,39188,172.217.167.68,443,tcp,ssl,184.354579,6986,4908,RSTR,0,45,9334,57,7868,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,21469.0,900.0,12617.0,52311.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11218.0,<systemd-udev>,192.168.1.31,39190,172.217.167.68,443,tcp,ssl,0.764825,2214,3022,SF,0,17,3118,18,4871,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,37489.0,31450.0,32566.0,7871.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11222.0,<systemd-udev>,192.168.1.31,40300,192.168.1.1,53,udp,dns,0.016066,66,290,SF,0,2,122,2,346,trc.taboola.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,21469.0,900.0,12617.0,52311.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11229.0,<systemd-udev>,192.168.1.31,46099,192.168.1.1,53,udp,dns,0.015384,72,296,SF,0,2,128,2,352,images.taboola.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
,,,,,,,,,3/31/2019 12:41,31766.0,29967.0,52914.0,51770.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11233.0,<systemd-udev>,192.168.1.31,46099,192.168.1.1,53,udp,dns,0.015384,72,296,SF,0,2,128,2,352,images.taboola.com,1,28,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
